method,total_time_s,avg_time_per_call_s,n_pairs,n_repeat
Euclidean,0.00048639997839927673,9.727999567985534e-08,50,100
CS_type_Dubins,0.03126009996049106,6.252019992098212e-06,50,100
CSC_type_Dubins,0.06068469997262582,1.2136939994525164e-05,50,100
